date,abd_v10,abd_v25,acth_v10,acth_v25,agrn_v25,arm6_v10,bel2_v10,bel2_v25,bex_v25,bir1_v10,bir1_v25,birt_v10,birt_v25,blc2_v25,bple_v10,bple_v25,brs8_v10,brs8_v25,burw_v10,ca1_v10,ca1_v25,card_v10,card_v25,carl_v10,carl_v25,chat_v10,chat_v25,chlg_v10,chlg_v25,chp_v10,chp_v25,chs7_v10,chs7_v25,cll2_v10,cll2_v25,coal_v25,dery_v10,dery_v25,ea8_v10,eb_v10,eb_v25,eccl_v10,eccl_v25,ed3_v10,ed3_v25,ghsr_v10,ghsr_v25,glkp_v10,glkp_v25,gran_v10,gran_v25,har_v10,har_v25,hg1_v25,hope_v10,hope_v25,hr3_v25,hrl_v10,hrl_v25,hul2_v25,hulr_v10,kc1_v10,kc1_v25,leam_v10,leam_v25,lear_v10,lear_v25,lecu_v25,led6_v10,led6_v25,leed_v10,leed_v25,leir_v10,ln_v10,lon6_v25,lvp_v10,lvp_v25,man3_v25,mid_v10,mid_v25,my1_v10,my1_v25,newc_v10,newc_v25,no12_v10,no12_v25,nott_v10,nott_v25,npt3_v10,npt3_v25,ox8_v10,ox8_v25,pemb_v10,plym_v10,plym_v25,pmth_v10,pmth_v25,pres_v25,pt4_v10,pt4_v25,rea1_v10,rea1_v25,roch_v10,roch_v25,sash_v10,sash_v25,scn2_v10,sdy_v10,sdy_v25,send_v25,shdg_v10,shdg_v25,sk5_v10,sout_v10,sout_v25,stkr_v10,stok_v25,stor_v10,stor_v25,sun2_v25,ted2_v25,thur_v10,tran_v25,war_v10,war_v25,wig5_v25,yk10_v10,yk10_v25,yk11_v10,yk11_v25
07/09/2015,1.413043,-0.086957,1.8875,0.473913,1.483333,0.545833,2.917391,2.561905,3.905,1.308333,0.795833,0.825,1.295833,0.120833,2.429167,1.6125,2.279167,3.116667,2.679167,0.495833,1.120833,1.5125,0.6875,1.233333,1.608333,1.775,2.2,1.9125,1.1375,1.975,0.5875,2.6625,1.8125,2.795833,0.225,2.033333,2.366667,1.445833,4.025,3.270833,3.220833,1.825,0.820833,0.838095,NA,2.404167,1.108333,0.595833,0.966667,0.845833,2.870833,3.958333,1.9,2.183333,NA,1.595833,1.416667,1.245833,3.354167,0.8,0.1375,3.045833,2.3,4.529167,6.975,2.4,4.3375,1.983333,1.145833,2.254167,1.325,2.433333,2.516667,0.770833,2.141667,0.766667,0.958333,1.079167,2.825,2.679167,1.441667,0.620833,NA,NA,2.795833,3.233333,1.629167,1.3,1.7125,1.4375,1.529167,2.041667,1.5875,2.65,NA,2.345833,2.395833,1.9,1.820833,1.2625,0.5,0.7,1.841667,1.190909,NA,2.668421,2.583333,0.75,2.408333,1.1375,NA,NA,1.6,0.625,0.820833,1.966667,2.804167,1.575,1.821739,1.058333,2.420833,2.65,0.429167,2.154167,1.358333,1.220833,2.008333,1.191667,2.279167,1.058333
08/09/2015,3.204167,1.7875,4.333333,2.670833,2.3625,3.25,NA,NA,4.266667,2.55,2.045833,2.079167,2.783333,3.575,3.8625,2.954167,3.65,4.258333,4.2125,0.820833,1.408333,3.2875,2.429167,3.4875,3.716667,2.7625,2.416667,3.170833,2.6625,3.591667,2.129167,4.720833,3.7,2.579167,0.766667,3.145833,4.070833,3.608333,2.7,3.354167,3.191667,3.758333,3.983333,3.429167,NA,5.241667,3.604348,3.15,4.075,2.370833,4.329167,3.825,2.329167,2.6375,NA,1.4,1.2875,1.216667,2.920833,1.329167,0.966667,2.708333,1.8,4.4875,7.808333,3.116667,4.370833,2.720833,2.983333,3.958333,3.175,3.804167,2.9,3.104167,2.204167,5.025,5.454167,3.045833,3.570833,3.604167,1.666667,0.729167,NA,NA,2.920833,3.045833,3.391667,2.570833,3.695833,3.041667,2.0125,2.7,4.116667,4.0875,NA,3.025,3.15,4.858333,3.9,2.4625,0.720833,0.9125,3.075,0.920833,NA,3.466667,2.954167,0.866667,2.5125,1.4875,NA,NA,2.245833,1.2125,1.220833,4.704167,5.4125,1.870833,2.179167,1.756522,2.504167,2.820833,4.45,5.241667,4.9125,4.433333,3.316667,1.8875,2.954167,2.358333
09/09/2015,2.045833,2.113043,2.983333,1.833333,1.245833,5.041667,NA,NA,4.3375,1.458333,1.3125,1.020833,2.075,2.391667,3.991667,2.1125,3.108333,3.775,2.704167,0.966667,2.0625,2.6125,1.770833,2.945833,3.4625,2.7875,2.675,2.258333,2.145833,3.1625,1.8,3.0875,2.5125,3.025,0.7875,1.8875,6.13913,5.3125,3.641667,4.670833,3.295833,2.466667,1.575,3.045833,NA,4.079167,1.954167,2.845833,2.8,2.425,4.6625,4.995833,2.479167,2.391667,NA,1.6875,NA,1.570833,4.121739,1.183333,0.895833,3.1,2.120833,4.133333,6.4625,2.4125,4.416667,2.0375,2.125,2.6375,1.683333,2.8625,1.7,4.941667,2.575,2.508333,2.770833,1.833333,2.904167,2.85,2.025,1.4125,NA,NA,2.733333,2.858333,1.9375,1.4375,3.129167,2.454167,2.133333,2.4,3.6125,NA,NA,2.6625,2.995833,3.033333,3.858333,2.416667,-0.2375,0.933333,2.920833,1.35,NA,3.158333,3.020833,NA,2.284211,1.3875,NA,NA,2.404167,0.920833,1.5375,2.2625,2.7125,1.929167,2.345833,1.1875,2.675,3.025,1.879167,3.375,2.741667,2.116667,2.508333,1.445833,2.483333,1.691667
10/09/2015,1.9875,NA,2.929167,1.416667,2.75,5.1375,NA,NA,5.483333,2.891667,2.345833,2.966667,2.916667,2.545833,3.8875,3.808333,5.183333,5.895833,3.483333,2.3,2.533333,4.595833,3.5375,2.670833,3.541667,4.341667,4.4375,3.825,2.995833,5.275,3.270833,4.5875,3.441667,4.454167,2.05,3.891667,6.0125,5.158333,5.316667,7.533333,5.6,2.729167,2.05,1.8375,NA,3.079167,1.358333,1.654167,1.745833,1.545833,3.620833,6.154167,3.35,3.320833,NA,2.916667,NA,2.8875,5.233333,1.704167,1.775,4.375,3.783333,5.154167,8.133333,4.0375,5.404167,3.233333,3.479167,3.945833,3.0125,3.716667,2.725,5.279167,3.9375,3.5375,3.404167,2.6375,3.708333,3.558333,3.558333,2.566667,1.583333,NA,3.8875,3.683333,3.370833,2.358333,5.025,3.691667,3.1625,4.0875,6.375,NA,NA,5.345833,5.133333,3.05,6.220833,3.729167,2.029167,2.175,4.795833,3.229167,3.291667,3.5125,4.816667,NA,3.491667,2.9625,4.541667,3,3.325,3.15,3.01,3.829167,4.3875,2.883333,2.595833,1.5125,3.4125,4.829167,3.308333,4.154167,3.241667,2.754167,3.2375,2.0375,3.283333,1.816667
11/09/2015,3.258333,NA,3.95,1.754167,3.295833,4.029167,NA,NA,7.425,3.366667,3.0375,2.854167,3.166667,2.795833,3.591667,3.220833,NA,5.4875,4.666667,3.6875,4.2875,4.7625,3.645833,3.3875,4.279167,5.633333,5.7375,4.175,3.720833,5.454167,4.033333,5.6875,3.933333,6.429167,3.6,4.708333,5.358333,5.279167,4.82381,6.55,5.154167,3.579167,3.204167,2.775,NA,3.883333,2.725,2.0875,2.454167,2.525,4.325,6.033333,4.3,4.566667,NA,5.125,NA,3.5625,5.279167,2.9,2.629167,5.4125,4.6875,5.904167,8.6625,4.4125,5.9625,3.3875,4.229167,4.875,4.595833,4.854167,3.9625,6.145833,NA,3.5875,3.870833,3.216667,4.2625,4.320833,4.533333,3.45,2.441667,NA,5.45,4.954167,4.225,3.004167,4.816667,4.170833,2.8625,3.741667,5.0375,NA,NA,3.9875,4.041667,4.4125,5.025,2.966667,2.15,2.354167,6.495833,4.558333,3.991667,3.5625,4.758333,NA,4.075,4.245833,5.2375,2.975,4.845833,2.104167,2.591667,4.15,4.404167,3.183333,3.091667,2.125,4.4625,7.229167,3.15,4.5625,3.833333,3.558333,4.0375,2.7125,4.0375,2.725
12/09/2015,4.954167,NA,3.154167,1.345833,3.258333,1.008333,NA,NA,4.9625,3.8,3.0125,3.975,3.345833,2.458333,2.025,1.508333,NA,2.854167,4.329167,1.870833,1.933333,1.979167,1.104167,2.766667,3.066667,3.208333,2.966667,6.004167,5.379167,2.833333,1.3875,6.866667,5.4625,4.195833,1.379167,4.5125,3,2.116667,2.2875,4.058333,2.683333,3.970833,3.183333,2.5375,NA,2.9875,1.575,1.8375,1.941667,2.258333,3.541667,3.9875,1.945833,3.241667,NA,2.55,NA,1.725,3.7875,3.2375,3.3375,3.791667,2.2875,6.0125,8.829167,4.495833,5.766667,4.725,5.6125,5.754167,4.583333,5.795833,4.379167,1.608333,NA,3.604167,3.745833,2.85,4.620833,3.816667,2.154167,2.2,2.979167,NA,6.041667,4.991667,5.5875,4.625,2.375,1.7875,1.983333,2.579167,1.625,-0.370833,0.9375,2.833333,2.316667,3.5375,2.8875,1.658333,0.079167,1.1,3.779167,2.016667,1.9375,1.85,5.829167,NA,3.620833,1.995833,6.591667,4.433333,2.708333,0.779167,0.733333,3.895652,4.804167,1.695833,1.275,2.266667,2.266667,3.870833,3.479167,4.791667,3.65,3.7375,4.808333,3.241667,4.833333,4.090476
13/09/2015,2.054167,NA,1.925,0.195833,1.645833,0.925,NA,NA,4.445833,1.516667,1.058333,1.241667,1.383333,0.966667,3.016667,2.3125,NA,3.433333,2.7625,1.3875,1.3375,2.070833,1.3,1.445833,1.8625,3.066667,2.65,2.433333,2.083333,3.15,1.445833,3.470833,2.220833,3.9125,1.5625,2.495833,2.2625,1.804167,2.125,4.1625,2.458333,1.708333,1.5875,0.825,NA,2.741667,1.091304,0.466667,1.004167,0.929167,2.725,4.0375,2.158333,2.875,NA,2.0375,NA,2.3,3.829167,2.3375,1.725,3.770833,2.091667,4.108333,6.904167,2.654167,3.833333,2.575,2.045833,2.85,3.195833,3.433333,2.504167,1.2125,NA,1.8,1.995833,1.466667,3.275,2.875,2.241667,2.054167,1.891667,NA,4.25,3.754167,3.016667,1.804167,2.691667,2.383333,2.041667,2.629167,2.879167,0.9625,2.279167,3.145833,3.55,2.5,3.241667,1.9625,-0.0125,1.608333,3.533333,2.216667,3.0875,2.691667,3.2875,NA,2.808333,1.629167,3.225,2.495833,2.804167,1.4375,1.545833,2.145833,2.675,2.513043,1.9875,1.125,2.7625,3.654167,1.445833,2.754167,2.2125,1.85,3.2,1.8125,2.858333,2.283333
14/09/2015,3.329167,NA,2.579167,0.8625,1.954167,2.091667,NA,NA,3.916667,2.3875,1.975,1.9375,2.0875,2.066667,2.466667,1.721739,NA,2.954167,3.704167,1.445833,1.770833,1.8625,1.166667,2.629167,3.116667,2.375,2.654167,3.65,3.354167,3.441667,2.041667,5.0125,3.5,3.116667,0.8625,3.141667,2.558333,2.070833,1.9625,3.9625,1.8125,3.204167,2.1625,2.383333,NA,3.870833,2.725,2.0375,2.275,2.258333,3.904167,3.5125,2.4,2.670833,NA,1.779167,NA,2.175,3.720833,3.025,1.291667,3.666667,1.904167,4.729167,5.477273,3.316667,4.629167,3.104348,3.1625,3.983333,3.833333,4.241667,2.604167,1.916667,NA,3.2125,3.708333,2.733333,5.225,4.804167,2.245833,1.358333,1.104167,NA,4.504167,3.825,3.508333,2.083333,2.520833,2.575,1.920833,3.075,2.029167,0.066667,0.4875,2.545833,2.166667,3.008333,3.033333,1.570833,0.525,1.058333,3.491667,1.316667,1.75,1.8375,4.183333,NA,2.925,1.354167,5.0875,3.15,2.770833,0.65,1.2,2.325,NA,1.845833,1.541667,2.3375,2.229167,3.395833,2.5,3.8875,2.908333,NA,3.695455,2.582609,4.066667,3.070833
15/09/2015,2.25,NA,2.2125,0.179167,0.570833,0.920833,2.058333,2.8375,3.375,1.179167,0.845833,0.704167,0.558333,0.179167,2.4625,0.804348,NA,2.4625,2.329167,0.470833,0.75,1.233333,0.125,0.933333,1.183333,1.954167,1.6875,2.045833,0.975,2.095833,0.891667,3.254167,1.708333,2.679167,-0.029167,1.391667,2.695833,1.566667,1.108333,3.408333,1.6875,1.825,1.466667,1.791667,NA,2.829167,0.9625,0.925,0.933333,1.5125,3.445833,2.854167,1.4125,1.979167,NA,0.941667,NA,1.370833,3.2625,1.1,0.454167,2.775,1.3375,2.075,1.554167,2.008333,3.170833,2.616667,1.583333,2.358333,2.116667,2.629167,1.331818,0.916667,3.7,1.545833,1.491667,0.670833,2.9,2.429167,1.283333,0.879167,-0.183333,NA,3.183333,2.416667,1.766667,0.891667,1.691667,1.3375,0.979167,1.629167,1.4375,NA,1.45,1.695833,1.9125,1.904167,2.825,1.129167,-0.316667,0.2,3.045833,0.758333,2.525,1.9875,2.395833,NA,2.083333,0.383333,2.6625,1.358333,1.425,0.620833,0.508333,1.9125,NA,2.066667,1.370833,0.4125,NA,2.420833,1.2,2.354167,1.558333,NA,2.170833,1.1,2.4875,1.486957
16/09/2015,2.283333,1.345833,1.658333,0.166667,2.1125,1.258333,2.329167,2.925,4.195833,1.816667,2.381818,1.908333,2.091667,0.545833,3.0125,1.6625,2.966667,3.454167,3.070833,1.195833,1.6625,2.4125,1.820833,1.716667,2.416667,2.9875,3.279167,2.216667,1.9,2.9875,1.366667,3.575,2.2,3.320833,0.829167,4.433333,2.291667,1.429167,2.025,3.845833,1.908333,2.320833,1.529167,0.804167,NA,2.283333,1.404167,1.116667,1.291667,1.316667,2.466667,3.808333,1.958333,2.529167,NA,1.8125,NA,2.120833,3.583333,2.4875,NA,3.333333,1.970833,4.8125,3.2375,4.379167,5.625,3.770833,1.783333,2.75,2.175,2.5,3.504167,0.695833,3.275,2.4125,2.395833,1.395833,3.1875,3.070833,1.966667,1.6875,0.320833,NA,4.566667,3.7125,2.154167,1.816667,3.470833,2.370833,2.691667,2.7,2.475,NA,1.595833,2.929167,2.6375,2.466667,2.4875,1.3625,0.491667,0.4875,3.479167,1.508333,1.945833,1.920833,3.121739,NA,2.866667,0.95,3.470833,1.291667,2.6875,0.979167,0.691667,1.8,2.770833,3.129167,1.9875,1.3125,1.113043,3.4875,1.583333,2.945833,2.0375,2.004167,2.579167,1.375,3.045833,1.7
