,London Bloomsbury,,Salford Eccles,,Stanford-le-Hope Roadside,,London Harlington,,London N. Kensington,,Lough Navar,,Middlesbrough,,London Marylebone Road,,Newcastle Centre,,Norwich Lakenfields,,Nottingham Centre,,Newport,,Oxford St Ebbes,,Narberth,,Plymouth Centre,,Portsmouth,,Port Talbot Margam,,Reading New Town,,Rochester Stoke,,Saltash Callington Road,,Scunthorpe Town,,Sandy Roadside,,Sheffield Devonshire Green,,Southwark A2 Old Kent Road,,Southampton Centre,,Stoke-on-Trent A50 Roadside,,Storrington Roadside,,Thurrock,,Warrington,,York Bootham,,York Fishergate,
Date,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2015,6,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),8,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),7,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS)
14/08/2015,7,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),7,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),, ,6,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),8,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),7,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
15/08/2015,4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS)
16/08/2015,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
17/08/2015,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
18/08/2015,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
19/08/2015,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
20/08/2015,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS)
21/08/2015,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
22/08/2015,4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS)
23/08/2015,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS)
24/08/2015,3,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS)
25/08/2015,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
26/08/2015,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
27/08/2015,2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,V ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
28/08/2015,1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,V ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,, ,1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS)
29/08/2015,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
30/08/2015,5,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
31/08/2015,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS)
01/09/2015,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
02/09/2015,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS)
03/09/2015,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
04/09/2015,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
