"date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","verify_id","validity_id","unit_id","unit_name","statistic_type","ratified_name","verification_status","network_parameter_id","network_id"
2010-01-01,2011-01-01,"card","Cardiff Centre","pm25",13.80035,65089,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"card","Cardiff Centre","pm25",13.245811,65089,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"card","Cardiff Centre","pm25",12.314749,65089,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"carl","Carlisle Roadside","pm25",15.536087,65527,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"carl","Carlisle Roadside","pm25",12.213544,65527,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"carl","Carlisle Roadside","pm25",11.036397,65527,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"chat","Chatham Roadside","pm25",13.017061,66533,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"chat","Chatham Roadside","pm25",16.980473,66533,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"chat","Chatham Roadside","pm25",16.794243,66533,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"chp","Chepstow A48","pm25",18.87589,66373,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"chp","Chepstow A48","pm25",17.377172,66373,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"chp","Chepstow A48","pm25",12.323745,66373,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"chs6","Chesterfield","pm25",13.059649,65349,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"chs6","Chesterfield","pm25",14.118642,65349,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"chs6","Chesterfield","pm25",12.459084,65349,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"chs7","Chesterfield Roadside","pm25",13.463878,65712,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"chs7","Chesterfield Roadside","pm25",13.942097,65712,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"chs7","Chesterfield Roadside","pm25",14.816047,65712,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"cll2","London Bloomsbury","pm25",16.396274,24458,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"cll2","London Bloomsbury","pm25",17.434626,24458,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"cll2","London Bloomsbury","pm25",16.188649,24458,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"cov3","Coventry Memorial Park","pm25",12.276679,65285,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"cov3","Coventry Memorial Park","pm25",10.054836,65285,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"cov3","Coventry Memorial Park","pm25",9.550412,65285,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"dery","Derry","pm25",19.34378,64726,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"dery","Derry","pm25",14.205176,64726,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"dery","Derry","pm25",15.000241,64726,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"eagl","Stockton-on-Tees Eaglescliffe","pm25",9.369428,65450,3,3,0,0,112,"ugm-3 (BAM)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"eagl","Stockton-on-Tees Eaglescliffe","pm25",12.020761,65450,3,3,0,0,112,"ugm-3 (BAM)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"eagl","Stockton-on-Tees Eaglescliffe","pm25",11.364049,65450,3,1,0,0,112,"ugm-3 (BAM)","annual_mean","provisional",NA,7,"AUN"
2010-01-01,2011-01-01,"eb","Eastbourne","pm25",13.41445,66392,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"eb","Eastbourne","pm25",16.366256,66392,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"eb","Eastbourne","pm25",15.65419,66392,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"eccl","Salford Eccles","pm25",14.986743,65312,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"eccl","Salford Eccles","pm25",16.073448,65312,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"eccl","Salford Eccles","pm25",12.776967,65312,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2010-01-01,2011-01-01,"ed3","Edinburgh St Leonards","pm25",9.488284,65120,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2011-01-01,2012-01-01,"ed3","Edinburgh St Leonards","pm25",11.659064,65120,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
2012-01-01,2013-01-01,"ed3","Edinburgh St Leonards","pm25",10.954032,65120,3,3,0,0,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",NA,7,"AUN"
